var,description
"EndDate","End Date"
"Status","Response Type"
"IPAddress","IP Address"
"Progress","Progress"
"Duration..in.seconds.","Duration (in seconds)"
"Finished","Finished"
"RecordedDate","Recorded Date"
"RecipientLastName","Recipient Last Name"
"RecipientFirstName","Recipient First Name"
"RecipientEmail","Recipient Email"
"ExternalReference","External Data Reference"
"LocationLatitude","Location Latitude"
"LocationLongitude","Location Longitude"
"DistributionChannel","Distribution Channel"
"UserLanguage","User Language"
"consent_tim_First.Click","Timing - First Click"
"consent_tim_Last.Click","Timing - Last Click"
"consent_tim_Page.Submit","Timing - Page Submit"
"consent_tim_Click.Count","Timing - Click Count"
"hb_time_First.Click","Timing - First Click"
"hb_time_Last.Click","Timing - Last Click"
"hb_time_Page.Submit","Timing - Page Submit"
"hb_time_Click.Count","Timing - Click Count"
"hb_b_1","For the purposes of this question, assume that human scientific activity continues without major negative disruption. How likely is it that HLMI exists: - in 10 years?"
"hb_b_2","For the purposes of this question, assume that human scientific activity continues without major negative disruption. How likely is it that HLMI exists: - in 20 years?"
"hb_b_3","For the purposes of this question, assume that human scientific activity continues without major negative disruption. How likely is it that HLMI exists: - in 40 years?"
"hb_comment","Do you have any comments on your interpretation of this question? (optional)"
"hb_consider","Which considerations were important in your answers to this question? (optional)"
"hj_time_First.Click","Timing - First Click"
"hj_time_Last.Click","Timing - Last Click"
"hj_time_Page.Submit","Timing - Page Submit"
"hj_time_Click.Count","Timing - Click Count"
"hj_a_jobs_1_1","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how many years you think will pass before the following present-day occupations will be fully automatable. Please tell us your best guess of when you think there will be a small chance (10% chance), a roughly even chance (50% chance), and a high chance (90% chance). - Truck driver - Years until small chance (10%)"
"hj_a_jobs_1_2","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how many years you think will pass before the following present-day occupations will be fully automatable. Please tell us your best guess of when you think there will be a small chance (10% chance), a roughly even chance (50% chance), and a high chance (90% chance). - Truck driver - Years until even chance (50%)"
"hj_a_jobs_1_3","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how many years you think will pass before the following present-day occupations will be fully automatable. Please tell us your best guess of when you think there will be a small chance (10% chance), a roughly even chance (50% chance), and a high chance (90% chance). - Truck driver - Years until high chance (90%)"
"hj_a_jobs_2_1","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how many years you think will pass before the following present-day occupations will be fully automatable. Please tell us your best guess of when you think there will be a small chance (10% chance), a roughly even chance (50% chance), and a high chance (90% chance). - Surgeon - Years until small chance (10%)"
"hj_a_jobs_2_2","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how many years you think will pass before the following present-day occupations will be fully automatable. Please tell us your best guess of when you think there will be a small chance (10% chance), a roughly even chance (50% chance), and a high chance (90% chance). - Surgeon - Years until even chance (50%)"
"hj_a_jobs_2_3","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how many years you think will pass before the following present-day occupations will be fully automatable. Please tell us your best guess of when you think there will be a small chance (10% chance), a roughly even chance (50% chance), and a high chance (90% chance). - Surgeon - Years until high chance (90%)"
"hj_a_jobs_3_1","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how many years you think will pass before the following present-day occupations will be fully automatable. Please tell us your best guess of when you think there will be a small chance (10% chance), a roughly even chance (50% chance), and a high chance (90% chance). - Retail salesperson - Years until small chance (10%)"
"hj_a_jobs_3_2","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how many years you think will pass before the following present-day occupations will be fully automatable. Please tell us your best guess of when you think there will be a small chance (10% chance), a roughly even chance (50% chance), and a high chance (90% chance). - Retail salesperson - Years until even chance (50%)"
